country,year,real_interest_rate,yearQ,quarter,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt,woe_country_code,GDP_cte,GDP_cur,GDP_per_cap_cte,inflation_mean,inflation_end,unemployment,lending_borroeing_rate,account_balance,develop,ln_GDP_cte,ln_GDP_cur,ln_GDP_per_cap_cte,taxes,vix_EUA,vix_EUR,Scale,nominal_rate,GDP_per_cap_cur_USD,ln_GDP_per_cap_cur,yearnum,post_08,post_09,post_15,post_16,post_17,ticker,fx_volatility,less_20,bet_20_40,bet_40_60,bet_60_80,bet_80_100,more_100,fx_return,int_liq
Argentina,2004,NA,2004Q4,4,436.752,94.4897707,0.342039006,88.30325,97.28225,248.18375,248.18375,128.08725,1.0415,59.43975,188.568,213,8911,482220,7896,4.416,6.101,13.625,3.967,1.798,EM,9.095041748,13.08615572,8.974111581,18.88977764,15.45679389,18.88629771,Units,2.5,4277.721351,8.361175752,2004,NO,NO,NO,NO,NO,1,0.055186834,NO,NO,NO,NO,YES,NO,NA,NA
Argentina,2005,NA,2005Q4,4,371.5375,68.84865773,0.34300185,67.0495,101.1855,225.00125,225.00125,91.30875,0.74575,54.48125,146.53625,213,8852,541253,7819,9.642,12.327,11.575,3.341,2.473,EM,9.088398701,13.2016421,8.964311948,19.82988812,12.77984615,14.031135,Units,5,5109.851325,8.538925588,2005,NO,NO,NO,NO,NO,1,0.055584304,NO,NO,NO,YES,YES,NO,NA,NA
Argentina,2006,NA,2006Q4,4,463.22575,69.82613465,0.326431776,157.65575,91.159,302.034,302.034,107.93475,0.86425,52.3935,161.1925,213,8047,602507,6998,10.898,9.841,10.175,1.65,2.791,EM,8.99305463,13.30885456,8.853379673,18.66199291,12.78038462,16.52674885,Units,6.25,5919.012037,8.685924828,2006,NO,NO,NO,NO,NO,1,0.030538195,NO,NO,NO,YES,YES,NO,0.002807108,NA
Argentina,2007,NA,2007Q4,4,496.1755,60.72736269,0.322292493,165.31975,90.765,312.126,312.126,136.42225,1.12525,46.502,184.04925,213,9008,674423,7939,8.83,8.468,8.475,7.57E-04,2.1,EM,9.10586835,13.42161279,8.979542602,14.23548442,17.45256705,19.61442874,Units,10.75,7245.448317,8.888128732,2007,NO,NO,NO,NO,NO,1,0.030949625,NO,NO,NO,YES,YES,NO,-0.050761214,NA
Argentina,2008,NA,2008Q4,4,527.682,49.75964576,0.315689603,188.123,92.74625,344.10975,344.10975,131.5765,0.81425,51.18125,183.572,213,4057,715435,3038,8.585,7.238,7.875,3.52E-04,1.492,EM,8.308199063,13.48064603,8.018954683,13.08274593,32.58267176,33.70876145,Units,12.05,9020.873098,9.107296404,2008,YES,NO,NO,NO,NO,1,0.117893371,NO,NO,YES,YES,NO,NO,-0.012843253,NA
Argentina,2009,NA,2009Q4,4,587.665,48.99519451,0.265288902,211.22125,99.4135,392.1675,392.1675,132.131,0.9635,62.403,195.498,213,-5919,678224,-6830,6.27,7.695,8.675,-1.83,2.167,EM,NA,13.4272329,NA,11.35745257,31.59849421,33.63477761,Units,9.5,8225.137176,9.014950253,2009,YES,YES,NO,NO,NO,1,0.125554653,NO,NO,YES,YES,NO,NO,-0.020915764,NA
Argentina,2010,-8.56602872,2010Q4,4,667.47125,45.05207441,0.255369609,176.44825,135.52625,443.851,443.851,153.726,0.9445,68.94975,223.62025,213,10125,755600,8360,10.461,10.923,7.75,-1.393,-3.82E-04,EM,9.222762892,13.53526741,9.031213706,11.56119276,22.49457831,26.36127149,Units,9.5,10385.96443,9.2482106,2010,YES,YES,NO,NO,NO,1,0.056334825,NO,NO,YES,YES,NO,NO,-0.189984208,NA
Argentina,2011,-7.773405236,2011Q4,4,733.80425,37.15005528,0.241191754,121.3975,165.23225,475.64925,475.64925,181.064,0.95675,76.13425,258.155,213,6004,817698,4789,9.775,9.508,7.15,-2.746,-1.012,EM,8.700181193,13.61424835,8.4740769,13.0207438,24.20257937,30.07789683,Units,9.5,12848.8642,9.461010697,2011,YES,YES,NO,NO,NO,1,0.098770499,NO,YES,NO,NO,NO,NO,-0.038842888,NA
Argentina,2012,-6.748195554,2012Q4,4,867.67575,35.23521785,0.217095532,139.9545,179.56675,585.644,585.644,193.839,0.85075,87.34175,282.032,213,-1026,824828,-2145,10.043,10.842,7.2,-3.018,-3.69E-04,EM,NA,13.62293016,NA,13.12514612,17.8154902,24.58428549,Units,9.5,13082.66433,9.479043299,2012,YES,YES,NO,NO,NO,1,0.178836053,NO,YES,NO,NO,NO,NO,-0.058782499,NA
Argentina,2013,-5.485839182,2013Q4,4,1135.72675,37.08195487,0.177257685,174.568,209.7965,795.328,795.328,228.60925,1.114,110.675,340.3985,213,2405,859487,1266,10.619,10.946,7.075,-3.254,-2.146,EM,7.785305183,13.66409098,7.143617603,13.46744173,14.22903101,18.53333062,Units,9.5,13080.25473,9.4788591,2013,YES,YES,NO,NO,NO,1,0.412783587,NO,YES,NO,NO,NO,NO,-0.110993635,28143.03863
