country,year,real_interest_rate,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt,foreign_participation_percent_GDP,foreign_ex_officials_participation_percent_GDP,foreign_nonbank_participation_percent_GDP,ggall,extggall,gg,extgg,lccgg,extlccgg,delta,x,y,kappa,alpha,GDP_cte_billions,GDP_cur_billions,GDP_cur_USD_billions,GDP_percapita_cte,GDP_percapita_cur,GDP_percapita_cur_USD,total_investment_percent_GDP,gross_national_savings_percent_GDP,inflation_average,inflation_end,unemployment_rate,general_gov_revenue_billions,general_gov_revenue_percent_GDP,general_gov_expenditures_billions,general_gov_expenditures_percent_GDP,lending_borrowing_billions,lending_borrowing_percent_GDP,current_account_billions,current_account_percent_GDP,ln_GDP_cte_billions,ln_GDP_cur_billions,ln_GDP_percapita_cur_USD,taxes,vix_EUA,vix_EUR,bcom_price,bcom_growth,nominal_rate,continent,control_corruption_rank,gov_effectiveness_rank,political_stability_rank,regulatory_quality_rank,rule_of_law_rank,voice_rank,fx_volatility,int_liq,GBI_weight,dxy,post_08,post_09,post_12,post_13,post_15,post_16,post_17,less_20,bet_20_40,bet_40_60,bet_60_80,bet_80_100,more_100,fx_return,develop,US_nominal_rate
Argentina,2004,NA,436752,7315105284717588,0.34203900646365715,88303.25,97282.25,248183.75,248183.75,128087.25,779.2625,59439.75,188568,38870.783216350756,26564.11624047906,26403.48164868124,566.045,188.601,226.246,129.438,11.982,3.625,0.648737462,0.08649776099999999,0.21706236975,0.9534598245,0.8910084730000001,485.115,485.115,164.911,12690.696,12690.697,4314.098,17.551,19.35,4.416,6.101,13.625,130.964,26.996,111.72,23.03,19.244,3.967,2.966,1.798,6.184385976232606,6.184385976232606,8.369643543427289,18.8897776425385,15.456793893129769,18.886297709923657,147.92725,0.006783333333333333,2.5,South America,40,55.17241,26.21359,23.64532,23.92344,59.61538,0.05518683395439363,NA,NA,111.58333333333333,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,EM,2.25
Argentina,2005,NA,371537.5,4677412691087754,0.34300184967082414,67049.5,101185.5,184996.295,184996.295,91308.75,0.74575,54481.25,146536.25,25154.79676862282,15674.427376411495,15674.299359011771,387.434,143.948,197.814,89.617,93.702,22.937,0.643289987,0.35849560125,0.248927974,0.78408994525,0.55826277825,528.056,582.538,199.273,13682.988,15094.732,5163.55,18.888,21.362,9.642,12.327,11.575,161.749,27.766,142.288,24.426,19.46,3.341,4.929,2.473,6.269202338688293,6.367394419363579,8.5493796064188885,19.8298881184074,12.779846153846155,14.031134999999999,161.17783333333333,0.014449999999999998,5,South America,43.41463,50.98039,44.17476,31.86275,34.92823,59.13462,0.05558430427652448,NA,NA,116.16666666666667,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,EM,4.25
Argentina,2006,NA,463225.75,6982613464654070,0.32643177643541105,157655.75,68639.0425,224291.82,224291.82,107934.75,0.86425,52393.5,161192.5,22515.937891113892,15076.827933633562,15076.707212140176,415.917,168.222,249.679,116.979,101.126,16.821,0.59906696525,0.39742733025,0.247556646,0.7548992615000001,0.5003904205,570.549,715.904,232.892,14640.504,18370.363,5976.082,18.68,21.471,10.898,9.841,10.175,202.363,28.267,190.55,26.617,11.813,1.65,6.499,2.791,6.3465990551843845,6.573546079759068,8.695520448271392,18.6619929052431,12.78038461538462,16.52674884615384,170.34858333333332,-0.001341666666666667,6.25,South America,42.92683,55.12195,45.89372,26.47059,34.44976,58.17308,0.03053819521182231,NA,NA,107.33333333333333,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,EM,5.25
Argentina,2007,NA,496175.5,32975966571672760,0.32229249254676773,165319.75,66666.6225,312126,312126,136422.25,910.21525,46502,184049.25,20518.76853441548,15310.538166960245,15209.062632388683,452.857,191.323,280.57,145.044,112.779,21.081,0.57368986275,0.39575358024999996,0.15509146825,0.8556117590000001,0.41734566675,621.943,896.98,287.921,15802.837,22791.226,7315.726,20.099,22.199,8.83,8.468,8.475,271.853,30.308,265.063,29.551,6.79,0.757,6.046,2.1,6.432848448668607,6.799033565266189,8.897781556649756,14.2354844249788,17.45256704980844,19.614428735632167,173.8896666666667,0.009291666666666667,10.75,South America,45.14563,53.39806,46.85991,25.72816,34.44976,58.65385,0.030949624843043585,NA,0,60.083333333333336,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,EM,4.25
Argentina,2008,NA,527682,27998161555481440,0.3156896034129169,188123,43697.8475,258298.1475,258298.1475,96391.72,263.55125,51181.25,183572,15967.697882652572,8407.39421091362,8384.469654137012,501.132,182.066,314.772,126.811,129.159,14.98,0.60443612925,0.40305438849999997,0.14019823725,0.8583272532499999,0.4264905795,647.176,1149.646,363.545,16282.958,28925.107,9146.79,19.573,21.065,8.585,7.238,7.875,357.705,31.114,353.658,30.762,4.046,0.352,5.424,1.492,6.472618282238403,7.0472093478821645,9.121158277045819,13.0827459285192,32.58267175572519,33.70876145038169,183.30625000000006,-0.03278333333333333,12.05,South America,39.32039,50.48544,40.86538,23.30097,27.88461,58.17308,0.1178933712241314,NA,NA,35.416666666666664,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,EM,0.125
Argentina,2009,NA,587665,3670628368374795.5,0.26528890155923307,211221.25,99413.5,392167.5,392167.5,132131,519.944,62403,195498,15665.795089303958,10629.686785065494,10588.022235239343,556.11,196.233,392.08,130.003,184.89,12.623,0.633325067,0.42478764125,0.088569468,0.8986415785,0.38867337425,608.873,1247.929,334.633,15170.838,31093.737,8337.811,16.053,18.22,6.27,7.695,8.675,408.003,32.694,430.841,34.524,-22.838,-1.83,7.251,2.167,6.411609707374853,7.1292406562853765,9.028555990877527,11.3574525723476,31.598494208494223,33.634777606177614,122.67990000000002,0.015366666666666666,9.5,South America,39.71292,45.93301,36.96682,22.48804,30.80569,56.39811,0.12555465321760007,NA,0.00105,57,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,EM,0.125
Argentina,2010,-8.566028720065953,506614.7675,25612510764425164,0.2553696085041894,176448.25,135526.25,443851,443851,153726,267.6775,51694.5225,164636.7925,9907.607384151734,9267.119901595996,9251.011451380828,650.089,245.451,461.307,174.188,184.872,26.631,0.64026724275,0.40688885375,0.08662924,0.903887407,0.41971640774999996,670.524,1661.721,424.729,16439.056,40739.985,10412.974,17.706,17.323,10.461,10.923,7.75,531.163,31.965,554.318,33.358,-23.155,-1.393,-1.623,-0.382,6.508059496264582,7.415609091287541,9.250807807647877,11.5611927566893,22.49457831325302,26.361271485943774,136.88286666666667,0.014325,9.5,South America,43.33333,49.2823,42.65403,23.92344,33.17535,58.29384,0.0563348246392782,NA,9.1e-4,66.33333333333333,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,EM,0.125
Argentina,2011,-7.773405236078933,733804.25,3715005528007225,0.24119175445730465,121397.5,120959.0675,347994.5325,347994.5325,135791.8175,0.95675,76134.25,258155,11847.27657887201,6231.8163659509955,6231.772458678748,770.256,259.126,539.685,178.767,196.175,6.216,0.64787555375,0.36323845275,0.049891153,0.948821262,0.467301381,710.782,2179.024,527.644,17226.271,52810.117,12787.806,18.398,17.386,9.775,9.508,7.15,700.692,32.156,760.521,34.902,-59.828,-2.746,-5.341,-1.012,6.566365772380784,7.686632349110673,9.456247339592341,13.0207437952904,24.20257936507937,30.077896825396813,158.63047500000002,-0.010366666666666668,9.5,South America,44.07583,49.76303,52.1327,25.59242,33.33333,58.21596,0.09877049935089699,NA,NA,24.083333333333332,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,EM,0.125
Argentina,2012,-6.7481955544048615,648140.505,11306938781527908,0.2170955321218473,139954.5,133795.0675,585644,585644,146101.785,0.85075,66167.945,282032,10691.478190721911,5538.56705525654,5538.534804394684,971.126,299.579,655.146,205.07,218.587,6.782,0.673979543,0.3439643375,0.032383843,0.9658364025,0.50578107,703.486,2637.914,579.666,16856.718,63208.892,13889.792,16.502,16.133,10.043,10.842,7.2,891.704,33.803,971.317,36.821,-79.614,-3.018,-2.139,-0.369,6.556047975858914,7.877743732290964,9.53890946083425,13.1251461222574,17.815490196078425,24.584285490196052,141.875375,-4.999999999999912e-5,9.5,South America,39.33649,46.91943,49.2891,20.85308,30.98592,57.277,0.17883605313766227,NA,NA,55.75,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,EM,0.125
Argentina,2013,-5.485839182378987,1135726.75,28740318569626908,0.17725768541212344,174568,209796.5,795328,795328,171301.615,304.3105,110675,340398.5,10166.283985822094,5125.153525302929,5116.065039416923,1321.347,396.008,898.651,265.784,259.607,4.976,0.70004914575,0.310531283,0.02148311425,0.97764555475,0.56587520775,720.407,3348.308,611.471,17070.071,79338.285,14488.829,17.306,15.159,10.619,10.946,7.075,1150.114,34.349,1259.062,37.603,-108.948,-3.254,-13.125,-2.146,6.57981633007858,8.116210422599092,9.581133217694346,13.4674417329858,14.22903100775193,18.533330620155034,130.33970833333333,-0.00805,9.5,South America,40.28436,45.97157,48.34123,18.00948,29.57747,56.80751,0.4127835874257116,28143.038630956402,NA,69.66666666666667,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,EM,0.125
