"","Gp","Ep","Sp","ESGIp"
"Australia-2004",93.8742774005354,0,77.4183871053635,86.583749330549
"Australia-2005",91.6216699477398,0.753457154607992,78.3589383343126,85.048781838395
"Australia-2006",91.6015867154179,1.08580992751093,79.3731533300907,85.2615437028939
"Australia-2007",92.6471961910249,0.695289853672933,80.0727755892297,86.1963750732108
"Australia-2008",93.2710958711589,0.626584227870513,80.3570505292387,86.7411793710521
"Australia-2009",92.8480655761456,0.598876941978429,80.1715184614427,86.3671285366976
"Australia-2010",92.9737558893001,2.04921422874084,80.0403990591569,86.5593764852049
"Australia-2011",93.904641849731,3.82196048831643,80.4711984898223,87.5271450472402
"Australia-2012",93.6889531408121,4.26976898092133,80.4665237687347,87.3921202335695
"Australia-2013",93.202661189314,7.03635534928101,80.8712678871157,87.3140646927543
"Australia-2014",93.9963752535976,8.69624409740778,81.0625227939653,88.1164072855273
"Australia-2015",92.6147941021841,7.80969417751423,81.2952958610279,86.9961792449948
"Australia-2016",93.3697619746529,8.33353350753969,81.5502257008423,87.6874542590106
"Australia-2017",92.5596454808437,9.10792172094923,81.3557310078712,87.0708388576323
"Australia-2018",93.6422080906316,10.3007912424958,81.4916078789255,88.0526290226073
"Australia-2019",93.4962431022959,13.0590414498418,81.8743815883016,88.2389784122405
"Austria-2004",92.3414429059417,64.3766744351147,84.9910373569023,92.1464079885077
"Austria-2005",91.4189500157643,63.8036036585666,86.2554758190961,91.6202427168651
"Austria-2006",92.6524763632455,65.6789076408743,87.0961889829181,92.9174411056451
"Austria-2007",94.6287528209857,68.0554916566792,87.9759645894428,94.8515178920835
"Austria-2008",93.4592006442909,68.5102285823648,89.2142406845544,94.2087220125762
"Austria-2009",90.6745444039386,71.0801308235903,89.8987728617429,92.350417324305
"Austria-2010",91.2716482417609,67.3368651243333,90.806263913062,92.6968587311767
"Austria-2011",89.7498346229931,67.5384994413818,91.8895037804696,91.7236409139868
"Austria-2012",91.1091072548169,73.5078053376039,92.4083295857867,93.3917462278757
"Austria-2013",91.8168112879801,75.557252428932,91.9207830904959,94.0230700615087
"Austria-2014",91.4752804288918,78.3450860518541,91.6525689793666,93.9277045543682
"Austria-2015",89.710775269935,75.3420837685234,92.2604282641797,92.4054704985469
"Austria-2016",89.1434824566449,76.1004175315199,89.2675138967448,91.4239695351031
"Austria-2017",89.3987235184497,74.2254350089213,88.8610845944391,91.3917761499056
"Austria-2018",89.9527505456989,75.6585638977222,88.8115926546927,91.9379602162828
"Austria-2019",89.7594836139349,75.4292609842597,88.5893297497633,91.7220175040038
"Belgium-2004",85.2798978551483,10.7635650403638,79.209311870222,81.0164179587032
"Belgium-2005",84.3162856197492,11.853958707118,79.7886287765898,80.4578481142363
"Belgium-2006",84.5786390592024,12.9319070541423,80.291706520219,80.8537658083901
"Belgium-2007",84.867601239068,13.9480571567977,81.1252273389044,81.331322664425
"Belgium-2008",83.223952043265,14.9491520331485,81.8347271655901,80.252882327631
"Belgium-2009",85.1215157570666,17.5475444555489,82.1314612979328,82.0269998292622
"Belgium-2010",85.3984337001869,17.1577135386995,82.4251765749367,82.2726600670364
"Belgium-2011",86.5224025383041,20.213868527805,82.8394635195128,83.4951267263414
"Belgium-2012",86.2385401440331,22.7468948635526,82.5165953145092,83.4136967031763
"Belgium-2013",87.1403860072188,23.6545549664573,82.3871920435454,84.1763580405236
"Belgium-2014",84.9358277226958,26.4087728585344,82.7822860304779,82.7349479211608
"Belgium-2015",85.0678225714283,28.2227158214453,82.7288163549564,82.9773880960406
"Belgium-2016",84.4281141687478,26.0020352286163,82.5000402718412,82.2435993552581
