Country,Time,ESGIp,Ep,Sp,Gp,Spread,develop
Australia,2004,86.58374933,0,77.41838711,93.8742774,1.1118,AV
Australia,2005,85.04878184,0.753457155,78.35893833,91.62166995,0.8089,AV
Australia,2006,85.2615437,1.085809928,79.37315333,91.60158672,1.1798,AV
Australia,2007,86.19637507,0.695289854,80.07277559,92.64719619,2.3028,AV
Australia,2008,86.74117937,0.626584228,80.35705053,93.27109587,1.7797,AV
Australia,2009,86.36712854,0.598876942,80.17151846,92.84806558,1.8072,AV
Australia,2010,86.55937649,2.049214229,80.04039906,92.97375589,2.2515,AV
Australia,2011,87.52714505,3.821960488,80.47119849,93.90464185,1.7918,AV
Australia,2012,87.39212023,4.269768981,80.46652377,93.68895314,1.5156,AV
Australia,2013,87.31406469,7.036355349,80.87126789,93.20266119,1.2068,AV
Australia,2014,88.11640729,8.696244097,81.06252279,93.99637525,0.5688,AV
Australia,2015,86.99617924,7.809694178,81.29529586,92.6147941,0.6106,AV
Australia,2016,87.68745426,8.333533508,81.5502257,93.36976197,0.3207,AV
Australia,2017,87.07083886,9.107921721,81.35573101,92.55964548,0.2246,AV
Australia,2018,88.05262902,10.30079124,81.49160788,93.64220809,-0.3662,AV
Australia,2019,88.23897841,13.05904145,81.87438159,93.4962431,-0.5475,AV
Austria,2004,92.14640799,64.37667444,84.99103736,92.34144291,-0.5482,AV
Austria,2005,91.62024272,63.80360366,86.25547582,91.41895002,-1.1111,AV
Austria,2006,92.91744111,65.67890764,87.09618898,92.65247636,-0.7222,AV
Austria,2007,94.85151789,68.05549166,87.97596459,94.62875282,0.4088,AV
Austria,2008,94.20872201,68.51022858,89.21424068,93.45920064,1.6427,AV
Austria,2009,92.35041732,71.08013082,89.89877286,90.6745444,-0.1198,AV
Austria,2010,92.69685873,67.33686512,90.80626391,91.27164824,0.2135,AV
Austria,2011,91.72364091,67.53849944,91.88950378,89.74983462,1.0278,AV
Austria,2012,93.39174623,73.50780534,92.40832959,91.10910725,-0.0094,AV
Austria,2013,94.02307006,75.55725243,91.92078309,91.81681129,-0.7562,AV
Austria,2014,93.92770455,78.34508605,91.65256898,91.47528043,-1.5282,AV
Austria,2015,92.4054705,75.34208377,92.26042826,89.71077527,-1.3704,AV
Austria,2016,91.42396954,76.10041753,89.2675139,89.14348246,-2.0183,AV
Austria,2017,91.39177615,74.22543501,88.86108459,89.39872352,-1.8234,AV
